"","SPY","QQQ","IWM","VEA","VWO","AGG","TLT","LQD","VNQ","GLD"
"SPY",1,0.952343517641108,0.80597617388658,0.772403453153648,0.677315878906353,0.163533211165914,0.12352302960511,0.326928675179082,0.573224370906229,0.117482178902741
"QQQ",0.952343517641108,1,0.705063859689072,0.702482075629941,0.654746500435764,0.122153968666351,0.0822029228694677,0.272480439100646,0.413921971164702,0.113678744132309
"IWM",0.80597617388658,0.705063859689072,1,0.731574309204252,0.620828451505342,0.226395946222465,0.168443345618673,0.361237042753298,0.675359654356746,0.156149601177985
"VEA",0.772403453153648,0.702482075629941,0.731574309204252,1,0.82394867615575,0.310598882736457,0.230064645076974,0.424410262483891,0.612568489086369,0.345366150108985
"VWO",0.677315878906353,0.654746500435764,0.620828451505342,0.82394867615575,1,0.216391209584176,0.136712444895402,0.316759184844105,0.469657156474584,0.339989154033709
"AGG",0.163533211165914,0.122153968666351,0.226395946222465,0.310598882736457,0.216391209584176,1,0.936009416939691,0.952619168275087,0.446825517159472,0.214171800938877
"TLT",0.12352302960511,0.0822029228694677,0.168443345618673,0.230064645076974,0.136712444895402,0.936009416939691,1,0.918650774933519,0.401099977006907,0.143535211693024
"LQD",0.326928675179082,0.272480439100646,0.361237042753298,0.424410262483891,0.316759184844105,0.952619168275087,0.918650774933519,1,0.524414923174221,0.203822735089813
"VNQ",0.573224370906229,0.413921971164702,0.675359654356746,0.612568489086369,0.469657156474584,0.446825517159472,0.401099977006907,0.524414923174221,1,0.160346169329238
"GLD",0.117482178902741,0.113678744132309,0.156149601177985,0.345366150108985,0.339989154033709,0.214171800938877,0.143535211693024,0.203822735089813,0.160346169329238,1
